,x,y,strategy,t_factor
798,745,1414,divDistBased,t1
799,745,1424,divDistBased,t1
800,838,1436,divDistBased,t1
801,838,1264,divDistBased,t1
802,838,1436,divDistBased,t1
803,838,1438,divDistBased,t1
804,838,1314,divDistBased,t1
805,838,1410,divDistBased,t1
806,838,1202,divDistBased,t1
807,838,1400,divDistBased,t1
808,838,1416,divDistBased,t1
809,838,1424,divDistBased,t1
810,838,1264,divDistBased,t1
811,838,1436,divDistBased,t1
812,838,1530,divDistBased,t1
813,838,1654,divDistBased,t1
814,838,1404,divDistBased,t1
815,838,1194,divDistBased,t1
816,838,1424,divDistBased,t1
817,838,1326,divDistBased,t1
818,838,1008,divDistBased,t1
819,838,1436,divDistBased,t1
820,838,1436,divDistBased,t1
821,838,1426,divDistBased,t1
822,838,1204,divDistBased,t1
823,838,1410,divDistBased,t1
824,838,1874,divDistBased,t1
825,838,1400,divDistBased,t1
826,838,1424,divDistBased,t1
827,838,1424,divDistBased,t1
828,838,1438,divDistBased,t1
829,838,1426,divDistBased,t1
830,838,1430,divDistBased,t1
831,838,1194,divDistBased,t1
832,838,1572,divDistBased,t1
833,838,1446,divDistBased,t1
834,838,1424,divDistBased,t1
835,838,1400,divDistBased,t1
836,838,1436,divDistBased,t1
837,838,1424,divDistBased,t1
838,838,1436,divDistBased,t1
839,838,1414,divDistBased,t1
840,838,1202,divDistBased,t1
841,838,1364,divDistBased,t1
842,838,1432,divDistBased,t1
843,838,1436,divDistBased,t1
844,838,1746,divDistBased,t1
845,838,1436,divDistBased,t1
846,838,1786,divDistBased,t1
847,838,1448,divDistBased,t1
848,838,1264,divDistBased,t1
849,838,1440,divDistBased,t1
850,838,1444,divDistBased,t1
851,838,1424,divDistBased,t1
852,838,1444,divDistBased,t1
853,838,1746,divDistBased,t1
854,838,1414,divDistBased,t1
855,838,1400,divDistBased,t1
856,838,1204,divDistBased,t1
857,838,1400,divDistBased,t1
858,838,1432,divDistBased,t1
859,838,1564,divDistBased,t1
860,838,1436,divDistBased,t1
861,838,1436,divDistBased,t1
862,838,1820,divDistBased,t1
863,838,1400,divDistBased,t1
864,838,1400,divDistBased,t1
865,838,1194,divDistBased,t1
866,838,1382,divDistBased,t1
867,838,1446,divDistBased,t1
868,838,1444,divDistBased,t1
869,838,1436,divDistBased,t1
870,838,1436,divDistBased,t1
871,838,1430,divDistBased,t1
872,838,1424,divDistBased,t1
873,838,1414,divDistBased,t1
874,838,1204,divDistBased,t1
875,838,1388,divDistBased,t1
876,838,1424,divDistBased,t1
877,838,1436,divDistBased,t1
878,838,1436,divDistBased,t1
879,838,1436,divDistBased,t1
880,838,1426,divDistBased,t1
881,838,1436,divDistBased,t1
882,838,1410,divDistBased,t1
883,838,1416,divDistBased,t1
884,838,1382,divDistBased,t1
885,838,1436,divDistBased,t1
886,838,1448,divDistBased,t1
887,838,1436,divDistBased,t1
888,838,1436,divDistBased,t1
889,838,1436,divDistBased,t1
890,838,1436,divDistBased,t1
891,838,1424,divDistBased,t1
892,838,1414,divDistBased,t1
893,838,1436,divDistBased,t1
894,838,1444,divDistBased,t1
895,838,1444,divDistBased,t1
896,838,1400,divDistBased,t1
897,838,1424,divDistBased,t1
898,838,1436,divDistBased,t1
899,838,1436,divDistBased,t1
900,931,1444,divDistBased,t1
901,931,1444,divDistBased,t1
